2025-06-17 22:38:31,207 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 22:38:52,111 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@79f2bb14: startup date [Tue Jun 17 22:38:52 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:38:52,112 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 22:38:52,128 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2025-06-17 22:46:56,906 INFO  [Thread-0] o.s.c.s.ClassPathXmlApplicationContext: Closing ApplicationContext 'ackdContext': startup date [Tue Jun 17 22:38:52 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:46:56,907 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:46:56,907 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: JavaMailReader
2025-06-17 22:46:56,907 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: attempting to adjust reader state to Stopped but it is already Stopped.
2025-06-17 22:46:56,907 WARN  [Thread-0] o.o.n.a.Ackd: adjustReaderState: Not adjustingReaderState, disabled reader: HypericReader
2025-06-17 22:47:17,734 INFO  [Main] o.s.c.s.ClassPathXmlApplicationContext: Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5e26f9e3: startup date [Tue Jun 17 22:47:17 UTC 2025]; parent: ApplicationContext 'daoContext'
2025-06-17 22:47:17,735 INFO  [Main] o.s.b.f.x.XmlBeanDefinitionReader: Loading XML bean definitions from class path resource [META-INF/opennms/applicationContext-ackd.xml]
2025-06-17 22:47:17,748 INFO  [Main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor: JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
